2026-08-08T15:13:39.831603900Z [inf]  Starting Container
2026-08-08T15:17:13.394246808Z [inf]  [IndependenceScore] f4ff6c26: no responses — excluded
2026-08-08T15:17:13.394249808Z [inf]  [IndependenceScore] 388e40df: no responses — excluded
2026-08-08T15:17:13.394252738Z [inf]  [IndependenceScore] 9b714d9b: no responses — excluded
2026-08-08T15:17:13.394257408Z [inf]  [IndependenceScore] fecfdd38: no responses — excluded
2026-08-08T15:17:13.394260368Z [inf]  [IndependenceScore] c04eb1fb: no responses — excluded
2026-08-08T15:17:13.394263207Z [inf]  [IndependenceScore] cd1de948: no responses — excluded
2026-08-08T15:17:13.394265937Z [inf]  [IndependenceScore] b9251a62: no responses — excluded
2026-08-08T15:17:13.394268667Z [inf]  [IndependenceScore] 946be4f5: no responses — excluded
2026-08-08T15:17:13.394272097Z [inf]  [IndependenceScore] 6a400c3a: no responses — excluded
2026-08-08T15:17:13.394275147Z [inf]  [IndependenceScore] 69357e28: no responses — excluded
2026-08-08T15:17:13.394278077Z [inf]  [IndependenceScore] bb91a3fe: no responses — excluded
2026-08-08T15:17:13.394280707Z [inf]  [IndependenceScore] 75196236: no responses — excluded
2026-08-08T15:17:13.394283607Z [inf]  [IndependenceScore] 30a59e8c: no responses — excluded
2026-08-08T15:17:13.394286927Z [inf]  [IndependenceScore] af5edb36 Q1: raw=5/35 norm=14 words=12 fired=[answered_not_skipped]
2026-08-08T15:17:13.394652871Z [inf]  [IndependenceScore] 225c3f67: no responses — excluded
2026-08-08T15:17:13.394661231Z [inf]  [IndependenceScore] 2555bac0 Q2: raw=5/35 norm=14 words=28 fired=[answered_not_skipped]
2026-08-08T15:17:13.394661371Z [inf]  [IndependenceScore] 21f08e5e: no responses — excluded
2026-08-08T15:17:13.394669691Z [inf]  [IndependenceScore] 6247a090: no responses — excluded
2026-08-08T15:17:13.394669881Z [inf]  [IndependenceScore] 2555bac0 Q1: raw=5/35 norm=14 words=27 fired=[answered_not_skipped]
2026-08-08T15:17:13.394674701Z [inf]  [IndependenceScore] 0f8dbf67: no responses — excluded
2026-08-08T15:17:13.394677971Z [inf]  [IndependenceScore] 8d37d102: no responses — excluded
2026-08-08T15:17:13.394680861Z [inf]  [IndependenceScore] 5487eb65: no responses — excluded
2026-08-08T15:17:13.394684690Z [inf]  [IndependenceScore] 0ab5f215: no responses — excluded
2026-08-08T15:17:13.394687610Z [inf]  [IndependenceScore] c7c45727: no responses — excluded
2026-08-08T15:17:13.394692030Z [inf]  [IndependenceScore] 48800065: no responses — excluded
2026-08-08T15:17:13.394695920Z [inf]  [IndependenceScore] 4ecad15b: no responses — excluded
2026-08-08T15:17:13.394701520Z [inf]  [IndependenceScore] 77476658: no responses — excluded
2026-08-08T15:17:13.394702740Z [inf]  [IndependenceScore] 07a98d6a: no responses — excluded
2026-08-08T15:17:13.394705960Z [inf]  [IndependenceScore] 35cb15b5: no responses — excluded
2026-08-08T15:17:13.394709600Z [inf]  [IndependenceScore] abbe0123: no responses — excluded
2026-08-08T15:17:13.394716260Z [inf]  [IndependenceScore] 82f6ce3c: no responses — excluded
2026-08-08T15:17:13.394722060Z [inf]  [IndependenceScore] 6ffeeade: no responses — excluded
2026-08-08T15:17:13.394725930Z [inf]  [IndependenceScore] 520afaa1: no responses — excluded
2026-08-08T15:17:13.394729640Z [inf]  [IndependenceScore] 9017ebf8: no responses — excluded
2026-08-08T15:17:13.394739150Z [inf]  [IndependenceScore] 487e7acf: no responses — excluded
2026-08-08T15:17:13.395158763Z [inf]  [IndependenceScore] 2555bac0: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.395163022Z [inf]  [IndependenceScore] 8651d1d1: no responses — excluded
2026-08-08T15:17:13.395168272Z [inf]  [IndependenceScore] acbc805f Q1: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:17:13.395172342Z [inf]  [IndependenceScore] acbc805f Q2: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.395176432Z [inf]  [IndependenceScore] acbc805f: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.395180482Z [inf]  [IndependenceScore] f26a71b3: no responses — excluded
2026-08-08T15:17:13.395184332Z [inf]  [IndependenceScore] 8d5342a9 Q2: raw=5/35 norm=14 words=16 fired=[answered_not_skipped]
2026-08-08T15:17:13.395188632Z [inf]  [IndependenceScore] 8d5342a9 Q1: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:17:13.395192592Z [inf]  [IndependenceScore] 8d5342a9: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.395197962Z [inf]  [IndependenceScore] 77cf1751: no responses — excluded
2026-08-08T15:17:13.395202192Z [inf]  [IndependenceScore] e5fb059a: no responses — excluded
2026-08-08T15:17:13.395205712Z [inf]  [IndependenceScore] 416346f7: no responses — excluded
2026-08-08T15:17:13.395209402Z [inf]  [IndependenceScore] c455f829 Q1: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.395214052Z [inf]  [IndependenceScore] c455f829: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.395217952Z [inf]  [IndependenceScore] c586d700: no responses — excluded
2026-08-08T15:17:13.395222301Z [inf]  [IndependenceScore] 163a466a: no responses — excluded
2026-08-08T15:17:13.395226051Z [inf]  [IndependenceScore] 4790c133: no responses — excluded
2026-08-08T15:17:13.395229771Z [inf]  [IndependenceScore] d121141e: no responses — excluded
2026-08-08T15:17:13.395233301Z [inf]  [IndependenceScore] f7cde155: no responses — excluded
2026-08-08T15:17:13.395845011Z [inf]  [IndependenceScore] 0461c59c: no responses — excluded
2026-08-08T15:17:13.395849621Z [inf]  [IndependenceScore] 486a6893: no responses — excluded
2026-08-08T15:17:13.395856281Z [inf]  [IndependenceScore] 6087e984: no responses — excluded
2026-08-08T15:17:13.395856731Z [inf]  [IndependenceScore] 1406c2fe Q3: raw=0/35 norm=0 words=1 fired=[none]
2026-08-08T15:17:13.395862391Z [inf]  [IndependenceScore] 1406c2fe Q1: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:17:13.395866611Z [inf]  [IndependenceScore] bd114ad7: no responses — excluded
2026-08-08T15:17:13.395871111Z [inf]  [IndependenceScore] 1406c2fe Q2: raw=13/35 norm=37 words=37 fired=[premortem_thinking, answered_not_skipped]
2026-08-08T15:17:13.395874141Z [inf]  [IndependenceScore] 5e33125d: no responses — excluded
2026-08-08T15:17:13.395877161Z [inf]  [IndependenceScore] 5bb57b7e: no responses — excluded
2026-08-08T15:17:13.395880541Z [inf]  [IndependenceScore] 249cc552 Q2: raw=5/35 norm=14 words=27 fired=[answered_not_skipped]
2026-08-08T15:17:13.395883380Z [inf]  [IndependenceScore] 249cc552 Q1: raw=15/35 norm=43 words=30 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.395886710Z [inf]  [IndependenceScore] 249cc552: session_score=29 (avg=29 bonus=0)
2026-08-08T15:17:13.395890020Z [inf]  [IndependenceScore] 46a65b13: no responses — excluded
2026-08-08T15:17:13.395893120Z [inf]  [IndependenceScore] d184e1b9: no responses — excluded
2026-08-08T15:17:13.395897310Z [inf]  [IndependenceScore] af713bd7: no responses — excluded
2026-08-08T15:17:13.395900940Z [inf]  [IndependenceScore] 56015b14: no responses — excluded
2026-08-08T15:17:13.395904560Z [inf]  [IndependenceScore] dbf3d88b: no responses — excluded
2026-08-08T15:17:13.395908430Z [inf]  [IndependenceScore] c0419714: no responses — excluded
2026-08-08T15:17:13.395911920Z [inf]  [IndependenceScore] c91ab45a: no responses — excluded
2026-08-08T15:17:13.395915310Z [inf]  [IndependenceScore] 42c58f72: no responses — excluded
2026-08-08T15:17:13.396260104Z [inf]  [IndependenceScore] 77521f2e: no responses — excluded
2026-08-08T15:17:13.396260304Z [inf]  [IndependenceScore] ee857c24: no responses — excluded
2026-08-08T15:17:13.396265764Z [inf]  [IndependenceScore] 83e3057f: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.396266224Z [inf]  [IndependenceScore] b5fc4415: no responses — excluded
2026-08-08T15:17:13.396270854Z [inf]  [IndependenceScore] 1406c2fe: session_score=27 (avg=17 bonus=10)
2026-08-08T15:17:13.396271584Z [inf]  [IndependenceScore] 01e4e2ce Q2: raw=5/35 norm=14 words=58 fired=[answered_not_skipped]
2026-08-08T15:17:13.396273604Z [inf]  [IndependenceScore] 4af4658a: no responses — excluded
2026-08-08T15:17:13.396279464Z [inf]  [IndependenceScore] 01e4e2ce Q1: raw=10/35 norm=29 words=71 fired=[response_depth, answered_not_skipped]
2026-08-08T15:17:13.396279484Z [inf]  [IndependenceScore] 83e3057f Q1: raw=5/35 norm=14 words=23 fired=[answered_not_skipped]
2026-08-08T15:17:13.396283194Z [inf]  [IndependenceScore] 2381be4b: no responses — excluded
2026-08-08T15:17:13.396288054Z [inf]  [IndependenceScore] 83e3057f Q2: raw=5/35 norm=14 words=28 fired=[answered_not_skipped]
2026-08-08T15:17:13.396289244Z [inf]  [IndependenceScore] 01e4e2ce Q3: raw=5/35 norm=14 words=53 fired=[answered_not_skipped]
2026-08-08T15:17:13.396293764Z [inf]  [IndependenceScore] b5fc49fc: no responses — excluded
2026-08-08T15:17:13.396297164Z [inf]  [IndependenceScore] 01e4e2ce: session_score=29 (avg=19 bonus=10)
2026-08-08T15:17:13.396301433Z [inf]  [IndependenceScore] 0bb5bbc3: no responses — excluded
2026-08-08T15:17:13.396306023Z [inf]  [IndependenceScore] 47f41eec: no responses — excluded
2026-08-08T15:17:13.396309793Z [inf]  [IndependenceScore] c6eac4e1: no responses — excluded
2026-08-08T15:17:13.396313563Z [inf]  [IndependenceScore] 54519be5: no responses — excluded
2026-08-08T15:17:13.396317213Z [inf]  [IndependenceScore] b4ed3bf6: no responses — excluded
2026-08-08T15:17:13.397044401Z [inf]  [IndependenceScore] 0abf2b96: no responses — excluded
2026-08-08T15:17:13.397050801Z [inf]  [IndependenceScore] 62207d6c: no responses — excluded
2026-08-08T15:17:13.397056781Z [inf]  [IndependenceScore] 99ed10b1 Q1: raw=10/35 norm=29 words=243 fired=[response_depth, answered_not_skipped]
2026-08-08T15:17:13.397060471Z [inf]  [IndependenceScore] 99ed10b1 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.397064391Z [inf]  [IndependenceScore] 99ed10b1: session_score=22 (avg=22 bonus=0)
2026-08-08T15:17:13.397068341Z [inf]  [IndependenceScore] 715ea166: no responses — excluded
2026-08-08T15:17:13.397072301Z [inf]  [IndependenceScore] 24727348 Q1: raw=5/35 norm=14 words=40 fired=[answered_not_skipped]
2026-08-08T15:17:13.397076491Z [inf]  [IndependenceScore] 24727348 Q2: raw=5/35 norm=14 words=14 fired=[answered_not_skipped]
2026-08-08T15:17:13.397080820Z [inf]  [IndependenceScore] 24727348: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.397085170Z [inf]  [IndependenceScore] d2988c1c: no responses — excluded
2026-08-08T15:17:13.397088490Z [inf]  [IndependenceScore] 7b6d02a7: no responses — excluded
2026-08-08T15:17:13.397091770Z [inf]  [IndependenceScore] eca483a4: no responses — excluded
2026-08-08T15:17:13.397095210Z [inf]  [IndependenceScore] 0ff01b20: no responses — excluded
2026-08-08T15:17:13.397099760Z [inf]  [IndependenceScore] 9a7e9d4d: no responses — excluded
2026-08-08T15:17:13.397103170Z [inf]  [IndependenceScore] fba2a28b: no responses — excluded
2026-08-08T15:17:13.397106430Z [inf]  [IndependenceScore] 055c0688: no responses — excluded
2026-08-08T15:17:13.397110730Z [inf]  [IndependenceScore] a3a6462b: no responses — excluded
2026-08-08T15:17:13.397115420Z [inf]  [IndependenceScore] c84203b5: no responses — excluded
2026-08-08T15:17:13.397119880Z [inf]  [IndependenceScore] f0f26590 Q1: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:17:13.397476064Z [inf]  [IndependenceScore] f0f26590 Q2: raw=5/35 norm=14 words=14 fired=[answered_not_skipped]
2026-08-08T15:17:13.397484344Z [inf]  [IndependenceScore] 0bef239c Q3: raw=5/35 norm=14 words=28 fired=[answered_not_skipped]
2026-08-08T15:17:13.397484504Z [inf]  [IndependenceScore] f0f26590 Q3: raw=0/35 norm=0 words=3 fired=[none]
2026-08-08T15:17:13.397490574Z [inf]  [IndependenceScore] f0f26590: session_score=15 (avg=5 bonus=10)
2026-08-08T15:17:13.397493194Z [inf]  [IndependenceScore] 2f84fb39 Q1: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:17:13.397494254Z [inf]  [IndependenceScore] 0bef239c Q2: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.397497604Z [inf]  [IndependenceScore] a1cf8efb: no responses — excluded
2026-08-08T15:17:13.397500693Z [inf]  [IndependenceScore] 2f84fb39 Q3: raw=5/35 norm=14 words=13 fired=[answered_not_skipped]
2026-08-08T15:17:13.397503863Z [inf]  [IndependenceScore] 09ace90e: no responses — excluded
2026-08-08T15:17:13.397505693Z [inf]  [IndependenceScore] 0bef239c: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.397507893Z [inf]  [IndependenceScore] 2f84fb39 Q2: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:17:13.397510003Z [inf]  [IndependenceScore] fbde45c7: no responses — excluded
2026-08-08T15:17:13.397512653Z [inf]  [IndependenceScore] 2f84fb39: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.397512903Z [inf]  [IndependenceScore] 247404ea: no responses — excluded
2026-08-08T15:17:13.397515963Z [inf]  [IndependenceScore] 0bf01f0f: no responses — excluded
2026-08-08T15:17:13.397516343Z [inf]  [IndependenceScore] 727bfce9: no responses — excluded
2026-08-08T15:17:13.397519423Z [inf]  [IndependenceScore] 0bef239c Q1: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.397519843Z [inf]  [IndependenceScore] 73f8445a: no responses — excluded
2026-08-08T15:17:13.398173452Z [inf]  [IndependenceScore] 98d72472: no responses — excluded
2026-08-08T15:17:13.398177962Z [inf]  [IndependenceScore] 635e3a8f: no responses — excluded
2026-08-08T15:17:13.398181682Z [inf]  [IndependenceScore] 52d09fbf: no responses — excluded
2026-08-08T15:17:13.398185382Z [inf]  [IndependenceScore] 2fcc0dc2: no responses — excluded
2026-08-08T15:17:13.398189252Z [inf]  [IndependenceScore] 7afebd1e Q1: raw=5/35 norm=14 words=3 fired=[answered_not_skipped]
2026-08-08T15:17:13.398192962Z [inf]  [IndependenceScore] 7afebd1e: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.398196682Z [inf]  [IndependenceScore] 0765a9c1: no responses — excluded
2026-08-08T15:17:13.398200232Z [inf]  [IndependenceScore] 630e84a2: no responses — excluded
2026-08-08T15:17:13.398203382Z [inf]  [IndependenceScore] 2335cb74: no responses — excluded
2026-08-08T15:17:13.398206932Z [inf]  [IndependenceScore] 869f865e: no responses — excluded
2026-08-08T15:17:13.398210162Z [inf]  [IndependenceScore] 060b743d: no responses — excluded
2026-08-08T15:17:13.398213592Z [inf]  [IndependenceScore] e97a8ec6: no responses — excluded
2026-08-08T15:17:13.398216642Z [inf]  [IndependenceScore] 9d905fb7: no responses — excluded
2026-08-08T15:17:13.398219931Z [inf]  [IndependenceScore] ec355ec9: no responses — excluded
2026-08-08T15:17:13.398223061Z [inf]  [IndependenceScore] 29df6bc1: no responses — excluded
2026-08-08T15:17:13.398226301Z [inf]  [IndependenceScore] 9fbe9257: no responses — excluded
2026-08-08T15:17:13.398229631Z [inf]  [IndependenceScore] 50754b27: no responses — excluded
2026-08-08T15:17:13.398232801Z [inf]  [IndependenceScore] 4c64f096: no responses — excluded
2026-08-08T15:17:13.398235961Z [inf]  [IndependenceScore] c4e8d73b: no responses — excluded
2026-08-08T15:17:13.398240251Z [inf]  [IndependenceScore] 5ce517ac: no responses — excluded
2026-08-08T15:17:13.398243521Z [inf]  [IndependenceScore] 746faeae: no responses — excluded
2026-08-08T15:17:13.398583635Z [inf]  [IndependenceScore] a3d8a5a4: no responses — excluded
2026-08-08T15:17:13.398586485Z [inf]  [IndependenceScore] ef3fab3e: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.398586995Z [inf]  [IndependenceScore] 619b54f6: no responses — excluded
2026-08-08T15:17:13.398595085Z [inf]  [IndependenceScore] aba014c6: no responses — excluded
2026-08-08T15:17:13.398598985Z [inf]  [IndependenceScore] cc1e31fc Q1: raw=5/35 norm=14 words=5 fired=[answered_not_skipped]
2026-08-08T15:17:13.398599985Z [inf]  [IndependenceScore] 7d23a35b: no responses — excluded
2026-08-08T15:17:13.398604815Z [inf]  [IndependenceScore] 285fc19d: no responses — excluded
2026-08-08T15:17:13.398611135Z [inf]  [IndependenceScore] fbfa7332: no responses — excluded
2026-08-08T15:17:13.398611655Z [inf]  [IndependenceScore] 3e816c28: no responses — excluded
2026-08-08T15:17:13.398620755Z [inf]  [IndependenceScore] 88be56f6: no responses — excluded
2026-08-08T15:17:13.398620985Z [inf]  [IndependenceScore] ef3fab3e Q1: raw=5/35 norm=14 words=16 fired=[answered_not_skipped]
2026-08-08T15:17:13.398627265Z [inf]  [IndependenceScore] 517bdcb6 Q1: raw=5/35 norm=14 words=13 fired=[answered_not_skipped]
2026-08-08T15:17:13.398630235Z [inf]  [IndependenceScore] 517bdcb6: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.398633325Z [inf]  [IndependenceScore] 0a9cbdb8: no responses — excluded
2026-08-08T15:17:13.398636125Z [inf]  [IndependenceScore] 2f344e9e: no responses — excluded
2026-08-08T15:17:13.398639364Z [inf]  [IndependenceScore] 788b083d: no responses — excluded
2026-08-08T15:17:13.398644014Z [inf]  [IndependenceScore] 9b99fd27: no responses — excluded
2026-08-08T15:17:13.398647124Z [inf]  [IndependenceScore] 432f396b: no responses — excluded
2026-08-08T15:17:13.398650454Z [inf]  [IndependenceScore] e25e5e06: no responses — excluded
2026-08-08T15:17:13.398653024Z [inf]  [IndependenceScore] 0fd8828b: no responses — excluded
2026-08-08T15:17:13.400284437Z [inf]  [IndependenceScore] cc1e31fc: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.400289447Z [inf]  [IndependenceScore] 482006da Q1: raw=0/35 norm=0 words=1 fired=[none]
2026-08-08T15:17:13.400292047Z [inf]  [IndependenceScore] 482006da: session_score=0 (avg=0 bonus=0)
2026-08-08T15:17:13.400294617Z [inf]  [IndependenceScore] b251f4f0: no responses — excluded
2026-08-08T15:17:13.400297167Z [inf]  [IndependenceScore] 3dbc6208: no responses — excluded
2026-08-08T15:17:13.400299487Z [inf]  [IndependenceScore] 5719dce4 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.400301697Z [inf]  [IndependenceScore] 5719dce4 Q1: raw=5/35 norm=14 words=30 fired=[answered_not_skipped]
2026-08-08T15:17:13.400303807Z [inf]  [IndependenceScore] 5719dce4: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.400306197Z [inf]  [IndependenceScore] 74e57d5e: no responses — excluded
2026-08-08T15:17:13.400308557Z [inf]  [IndependenceScore] f39fa972: no responses — excluded
2026-08-08T15:17:13.400311417Z [inf]  [IndependenceScore] 1d81dc69 Q2: raw=5/35 norm=14 words=32 fired=[answered_not_skipped]
2026-08-08T15:17:13.400313617Z [inf]  [IndependenceScore] 1d81dc69 Q1: raw=12/35 norm=34 words=50 fired=[cross_session_reference, answered_not_skipped]
2026-08-08T15:17:13.400315746Z [inf]  [IndependenceScore] 1d81dc69: session_score=24 (avg=24 bonus=0)
2026-08-08T15:17:13.400317816Z [inf]  [IndependenceScore] 8f08004e: no responses — excluded
2026-08-08T15:17:13.400319886Z [inf]  [IndependenceScore] 04e61e82: no responses — excluded
2026-08-08T15:17:13.400322006Z [inf]  [IndependenceScore] 69bde9c6: no responses — excluded
2026-08-08T15:17:13.400324376Z [inf]  [IndependenceScore] 87a75d5c Q2: raw=5/35 norm=14 words=23 fired=[answered_not_skipped]
2026-08-08T15:17:13.400326926Z [inf]  [IndependenceScore] 87a75d5c Q1: raw=10/35 norm=29 words=67 fired=[response_depth, answered_not_skipped]
2026-08-08T15:17:13.400637281Z [inf]  [IndependenceScore] 87a75d5c: session_score=22 (avg=22 bonus=0)
2026-08-08T15:17:13.400642011Z [inf]  [IndependenceScore] a88fde79: no responses — excluded
2026-08-08T15:17:13.400648381Z [inf]  [IndependenceScore] fb54a2e0: no responses — excluded
2026-08-08T15:17:13.400654171Z [inf]  [IndependenceScore] 89acd312: no responses — excluded
2026-08-08T15:17:13.400657961Z [inf]  [IndependenceScore] e2af0e23: no responses — excluded
2026-08-08T15:17:13.400661601Z [inf]  [IndependenceScore] 464c81b5: no responses — excluded
2026-08-08T15:17:13.400665911Z [inf]  [IndependenceScore] 511ea06f: no responses — excluded
2026-08-08T15:17:13.400669181Z [inf]  [IndependenceScore] 8faf7f28: no responses — excluded
2026-08-08T15:17:13.400673531Z [inf]  [IndependenceScore] eaee010e: no responses — excluded
2026-08-08T15:17:13.400678570Z [inf]  [IndependenceScore] 7f2da1c6: no responses — excluded
2026-08-08T15:17:13.400682260Z [inf]  [IndependenceScore] 20142997: no responses — excluded
2026-08-08T15:17:13.400685760Z [inf]  [IndependenceScore] 0e809520 Q1: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.400689460Z [inf]  [IndependenceScore] 0e809520 Q2: raw=5/35 norm=14 words=13 fired=[answered_not_skipped]
2026-08-08T15:17:13.400692740Z [inf]  [IndependenceScore] 0e809520: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.400695850Z [inf]  [IndependenceScore] 5c3e7014: no responses — excluded
2026-08-08T15:17:13.400699330Z [inf]  [IndependenceScore] 585e5930: no responses — excluded
2026-08-08T15:17:13.400704260Z [inf]  [IndependenceScore] 22a30288: no responses — excluded
2026-08-08T15:17:13.400707390Z [inf]  [IndependenceScore] 3e3c4e63: no responses — excluded
2026-08-08T15:17:13.400710930Z [inf]  [IndependenceScore] 5f365b8c: no responses — excluded
2026-08-08T15:17:13.400717240Z [inf]  [IndependenceScore] 1b319276: no responses — excluded
2026-08-08T15:17:13.401287150Z [inf]  [IndependenceScore] 45ccb05b: no responses — excluded
2026-08-08T15:17:13.401290950Z [inf]  [IndependenceScore] 3f220676: no responses — excluded
2026-08-08T15:17:13.401293530Z [inf]  [IndependenceScore] fdbba766: no responses — excluded
2026-08-08T15:17:13.401297110Z [inf]  [IndependenceScore] ac03928b: no responses — excluded
2026-08-08T15:17:13.401300620Z [inf]  [IndependenceScore] 272b6059: no responses — excluded
2026-08-08T15:17:13.401304980Z [inf]  [IndependenceScore] a1df8c32: no responses — excluded
2026-08-08T15:17:13.401311460Z [inf]  [IndependenceScore] 0fa76d8b: no responses — excluded
2026-08-08T15:17:13.401312900Z [inf]  [IndependenceScore] 17204d6a Q1: raw=20/35 norm=57 words=60 fired=[stakeholder_surfacing, response_depth, answered_not_skipped]
2026-08-08T15:17:13.401320340Z [inf]  [IndependenceScore] 0c3cecc5 Q1: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:17:13.401320630Z [inf]  [IndependenceScore] eda46405: no responses — excluded
2026-08-08T15:17:13.401320810Z [inf]  [IndependenceScore] 17204d6a Q2: raw=15/35 norm=43 words=20 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.401330480Z [inf]  [IndependenceScore] 17204d6a: session_score=50 (avg=50 bonus=0)
2026-08-08T15:17:13.401330510Z [inf]  [IndependenceScore] 0c3cecc5: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.401330710Z [inf]  [IndependenceScore] 03bb96fb: no responses — excluded
2026-08-08T15:17:13.401341029Z [inf]  [IndependenceScore] 11b61549: no responses — excluded
2026-08-08T15:17:13.401341279Z [inf]  [IndependenceScore] 181e0b62: no responses — excluded
2026-08-08T15:17:13.401348929Z [inf]  [IndependenceScore] 0c3cecc5 Q3: raw=5/35 norm=14 words=10 fired=[answered_not_skipped]
2026-08-08T15:17:13.401351589Z [inf]  [IndependenceScore] 15bc1dc5: no responses — excluded
2026-08-08T15:17:13.401357049Z [inf]  [IndependenceScore] 0c3cecc5 Q2: raw=5/35 norm=14 words=39 fired=[answered_not_skipped]
2026-08-08T15:17:13.401729053Z [inf]  [IndependenceScore] fcef6e09: no responses — excluded
2026-08-08T15:17:13.401735303Z [inf]  [IndependenceScore] 74526a52: no responses — excluded
2026-08-08T15:17:13.401740813Z [inf]  [IndependenceScore] 3d68e653 Q3: raw=15/35 norm=43 words=22 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.401745783Z [inf]  [IndependenceScore] 3d68e653 Q2: raw=5/35 norm=14 words=16 fired=[answered_not_skipped]
2026-08-08T15:17:13.401750663Z [inf]  [IndependenceScore] 3d68e653 Q4: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:17:13.401755662Z [inf]  [IndependenceScore] 3d68e653 Q1: raw=5/35 norm=14 words=22 fired=[answered_not_skipped]
2026-08-08T15:17:13.401760642Z [inf]  [IndependenceScore] 3d68e653: session_score=31 (avg=21 bonus=10)
2026-08-08T15:17:13.401765222Z [inf]  [IndependenceScore] 044b2b91: no responses — excluded
2026-08-08T15:17:13.401768742Z [inf]  [IndependenceScore] e09ddb01: no responses — excluded
2026-08-08T15:17:13.401772112Z [inf]  [IndependenceScore] dcdb7c87: no responses — excluded
2026-08-08T15:17:13.401776592Z [inf]  [IndependenceScore] 7edd1a4c Q1: raw=15/35 norm=43 words=46 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.401780262Z [inf]  [IndependenceScore] 7edd1a4c Q2: raw=5/35 norm=14 words=26 fired=[answered_not_skipped]
2026-08-08T15:17:13.401783462Z [inf]  [IndependenceScore] 7edd1a4c: session_score=29 (avg=29 bonus=0)
2026-08-08T15:17:13.401786682Z [inf]  [IndependenceScore] d9fb5cc2 Q1: raw=5/35 norm=14 words=4 fired=[answered_not_skipped]
2026-08-08T15:17:13.401789732Z [inf]  [IndependenceScore] d9fb5cc2 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.401793412Z [inf]  [IndependenceScore] d9fb5cc2 Q3: raw=5/35 norm=14 words=18 fired=[answered_not_skipped]
2026-08-08T15:17:13.401796712Z [inf]  [IndependenceScore] d9fb5cc2: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.402107597Z [inf]  [IndependenceScore] fa6d2781 Q1: raw=5/35 norm=14 words=16 fired=[answered_not_skipped]
2026-08-08T15:17:13.402111187Z [inf]  [IndependenceScore] e638e122: no responses — excluded
2026-08-08T15:17:13.402116206Z [inf]  [IndependenceScore] fa6d2781 Q2: raw=0/35 norm=0 words=3 fired=[none]
2026-08-08T15:17:13.402118816Z [inf]  [IndependenceScore] e702cf80: no responses — excluded
2026-08-08T15:17:13.402125446Z [inf]  [IndependenceScore] 1200ae14 Q1: raw=5/35 norm=14 words=36 fired=[answered_not_skipped]
2026-08-08T15:17:13.402125856Z [inf]  [IndependenceScore] fa6d2781 Q3: raw=5/35 norm=14 words=13 fired=[answered_not_skipped]
2026-08-08T15:17:13.402130466Z [inf]  [IndependenceScore] 1200ae14 Q2: raw=5/35 norm=14 words=23 fired=[answered_not_skipped]
2026-08-08T15:17:13.402134216Z [inf]  [IndependenceScore] fa6d2781: session_score=19 (avg=9 bonus=10)
